most_ads_hour,test_group,total_users,converted_users,conversion_rate_pct
0,ad,5309,102,1.92
0,psa,227,0,0.00
1,ad,4615,62,1.34
1,psa,187,0,0.00
2,ad,5152,39,0.76
2,psa,181,0,0.00
3,ad,2590,27,1.04
3,psa,89,1,1.12
4,ad,694,11,1.59
4,psa,28,0,0.00
5,ad,742,16,2.16
5,psa,23,0,0.00
6,ad,1985,46,2.32
6,psa,83,0,0.00
7,ad,6168,114,1.85
7,psa,237,2,0.84
8,ad,16968,337,1.99
8,psa,659,7,1.06
9,ad,29802,582,1.95
9,psa,1202,13,1.08
10,ad,37454,818,2.18
10,psa,1485,20,1.35
11,ad,44149,992,2.25
11,psa,2061,30,1.46
12,ad,45238,1092,2.41
12,psa,2060,35,1.70
13,ad,45485,1140,2.51
13,psa,2170,36,1.66
14,ad,43779,1251,2.86
14,psa,1869,30,1.61
15,ad,42855,1279,2.98
15,psa,1828,46,2.52
16,ad,35963,1111,3.09
16,psa,1604,45,2.81
17,ad,33605,959,2.85
17,psa,1383,28,2.02
18,ad,31052,853,2.75
18,psa,1271,32,2.52
19,ad,29169,782,2.68
19,psa,1183,29,2.45
20,ad,27846,843,3.03
20,psa,1077,19,1.76
21,ad,28895,843,2.92
21,psa,1081,24,2.22
22,ad,25515,675,2.65
22,psa,917,15,1.64
23,ad,19547,449,2.30
23,psa,619,8,1.29
